stakeholder,industry,materialType,certificationStatus,supplyReliability,technicalQualificationStatus,deliveryTimeline,annualSteelVolumeTonnes,conventionalSteelPricePerTonne,greenPremiumPerTonne,totalPremium,premiumPerProduct,premiumPercentage,baselineCo2Intensity,greenSteelCo2Intensity,co2Saved,proofScore,carbonPrice,indicativeCarbonValue,costSensitivity,proofSensitivity,claimRiskSensitivity,strategicFocus,supplySensitivity,technicalSensitivity,urgencySensitivity,price_objection,proof_certification_objection,greenwashing_objection,supply_reliability_objection,internal_approval_objection,technical_quality_objection,low_urgency_objection
Compliance,Renewable Energy,Forged Components,In audit,Low,In qualification,Within 3 months,4788.0,833.0,187.0,895356.0,0.4061730080825777,0.22448979591836735,1.8249870270712067,0.6956535808151412,5407.248540674042,1.0,85.0,459616.12595729355,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,0,1,1
Procurement,Machinery,Engineering Steel,Certified,High,Qualified,Within 12 months,1760.0,642.0,54.0,95040.0,0.03798892149675711,0.08411214953271028,1.7226274532995953,0.40756098489464343,2314.5169843927156,0.5,85.0,196733.94367338083,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,0,0,0,1
Sustainability,Machinery,Engineering Steel,Certified,High,Qualified,Within 12 months,1760.0,642.0,54.0,95040.0,0.03798892149675711,0.08411214953271028,1.7226274532995953,0.40756098489464343,2314.5169843927156,0.5,85.0,196733.94367338083,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,0,1,0,0
Management,Machinery,Engineering Steel,Certified,High,Qualified,Within 12 months,1760.0,642.0,54.0,95040.0,0.03798892149675711,0.08411214953271028,1.7226274532995953,0.40756098489464343,2314.5169843927156,0.5,85.0,196733.94367338083,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,0,0,1,1
Compliance,Machinery,Engineering Steel,Certified,High,Qualified,Within 12 months,1760.0,642.0,54.0,95040.0,0.03798892149675711,0.08411214953271028,1.7226274532995953,0.40756098489464343,2314.5169843927156,0.5,85.0,196733.94367338083,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,0,1
Procurement,Construction,Forged Components,Certified,Medium,In qualification,Beyond 12 months,4682.0,853.0,70.0,327740.0,0.6073623270053298,0.08206330597889801,1.9352914554530432,0.8797391472859091,4942.095906838522,0.2,85.0,420078.15208127437,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,1,1,0,0
Sustainability,Construction,Forged Components,Certified,Medium,In qualification,Beyond 12 months,4682.0,853.0,70.0,327740.0,0.6073623270053298,0.08206330597889801,1.9352914554530432,0.8797391472859091,4942.095906838522,0.2,85.0,420078.15208127437,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,0,1
Management,Construction,Forged Components,Certified,Medium,In qualification,Beyond 12 months,4682.0,853.0,70.0,327740.0,0.6073623270053298,0.08206330597889801,1.9352914554530432,0.8797391472859091,4942.095906838522,0.2,85.0,420078.15208127437,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,1,0
Compliance,Construction,Forged Components,Certified,Medium,In qualification,Beyond 12 months,4682.0,853.0,70.0,327740.0,0.6073623270053298,0.08206330597889801,1.9352914554530432,0.8797391472859091,4942.095906838522,0.2,85.0,420078.15208127437,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,0,1
Procurement,Construction,Forged Components,In audit,Low,Qualified,Immediate,23307.0,653.0,140.0,3262980.0,8.35173216959521,0.21439509954058192,1.616918413069152,0.33323724549855605,29918.756972567884,0.0,85.0,2543094.34266827,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,0,1,1,0,0
Sustainability,Construction,Forged Components,In audit,Low,Qualified,Immediate,23307.0,653.0,140.0,3262980.0,8.35173216959521,0.21439509954058192,1.616918413069152,0.33323724549855605,29918.756972567884,0.0,85.0,2543094.34266827,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,1,1,0,0
Management,Construction,Forged Components,In audit,Low,Qualified,Immediate,23307.0,653.0,140.0,3262980.0,8.35173216959521,0.21439509954058192,1.616918413069152,0.33323724549855605,29918.756972567884,0.0,85.0,2543094.34266827,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,1,1,0,1,0
Compliance,Construction,Forged Components,In audit,Low,Qualified,Immediate,23307.0,653.0,140.0,3262980.0,8.35173216959521,0.21439509954058192,1.616918413069152,0.33323724549855605,29918.756972567884,0.0,85.0,2543094.34266827,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,0,0,0,0
Procurement,Machinery,Engineering Steel,Certified,Medium,In qualification,Beyond 12 months,34374.0,891.0,141.0,4846734.0,6.159228675343688,0.15824915824915825,1.9080715968802828,0.6837379627422662,42085.24433986018,0.0,85.0,3577245.7688881154,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,1,1,1,1,1
Sustainability,Machinery,Engineering Steel,Certified,Medium,In qualification,Beyond 12 months,34374.0,891.0,141.0,4846734.0,6.159228675343688,0.15824915824915825,1.9080715968802828,0.6837379627422662,42085.24433986018,0.0,85.0,3577245.7688881154,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,0,0,1,0
Management,Machinery,Engineering Steel,Certified,Medium,In qualification,Beyond 12 months,34374.0,891.0,141.0,4846734.0,6.159228675343688,0.15824915824915825,1.9080715968802828,0.6837379627422662,42085.24433986018,0.0,85.0,3577245.7688881154,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,0,0,1,0
Compliance,Machinery,Engineering Steel,Certified,Medium,In qualification,Beyond 12 months,34374.0,891.0,141.0,4846734.0,6.159228675343688,0.15824915824915825,1.9080715968802828,0.6837379627422662,42085.24433986018,0.0,85.0,3577245.7688881154,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,0,1,0,1,0
Procurement,Automotive,Spring Steel,In audit,Low,Not qualified,Immediate,7191.0,880.0,129.0,927639.0,0.5149656287662495,0.14659090909090908,2.2260992837036375,0.7770689033898516,10419.977464836435,1.0,85.0,885698.0845110969,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,1,1,1,0
Sustainability,Automotive,Spring Steel,In audit,Low,Not qualified,Immediate,7191.0,880.0,129.0,927639.0,0.5149656287662495,0.14659090909090908,2.2260992837036375,0.7770689033898516,10419.977464836435,1.0,85.0,885698.0845110969,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,0,0,0,0
Management,Automotive,Spring Steel,In audit,Low,Not qualified,Immediate,7191.0,880.0,129.0,927639.0,0.5149656287662495,0.14659090909090908,2.2260992837036375,0.7770689033898516,10419.977464836435,1.0,85.0,885698.0845110969,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,1,1,0,0,0
Compliance,Automotive,Spring Steel,In audit,Low,Not qualified,Immediate,7191.0,880.0,129.0,927639.0,0.5149656287662495,0.14659090909090908,2.2260992837036375,0.7770689033898516,10419.977464836435,1.0,85.0,885698.0845110969,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,0,1,0,1,1
Procurement,Construction,Wire Rod,In audit,Medium,Qualified,Immediate,29322.0,661.0,161.0,4720842.0,2.5416495055166033,0.24357034795763993,2.3489119894707695,0.7681808963456354,46350.197112615184,0.0,85.0,3939766.7545722905,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,1,0,0,1
Sustainability,Construction,Wire Rod,In audit,Medium,Qualified,Immediate,29322.0,661.0,161.0,4720842.0,2.5416495055166033,0.24357034795763993,2.3489119894707695,0.7681808963456354,46350.197112615184,0.0,85.0,3939766.7545722905,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,0,0
Management,Construction,Wire Rod,In audit,Medium,Qualified,Immediate,29322.0,661.0,161.0,4720842.0,2.5416495055166033,0.24357034795763993,2.3489119894707695,0.7681808963456354,46350.197112615184,0.0,85.0,3939766.7545722905,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,0,1,0,0
Compliance,Construction,Wire Rod,In audit,Medium,Qualified,Immediate,29322.0,661.0,161.0,4720842.0,2.5416495055166033,0.24357034795763993,2.3489119894707695,0.7681808963456354,46350.197112615184,0.0,85.0,3939766.7545722905,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,0,1
Procurement,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Beyond 12 months,34246.0,871.0,217.0,7431382.0,11.708458457669899,0.24913892078071181,2.328510581704708,0.6937614235964942,55983.61966857389,0.0,85.0,4758607.67182878,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,0,0,1,0,1
Sustainability,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Beyond 12 months,34246.0,871.0,217.0,7431382.0,11.708458457669899,0.24913892078071181,2.328510581704708,0.6937614235964942,55983.61966857389,0.0,85.0,4758607.67182878,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,0,0,0,1,1
Management,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Beyond 12 months,34246.0,871.0,217.0,7431382.0,11.708458457669899,0.24913892078071181,2.328510581704708,0.6937614235964942,55983.61966857389,0.0,85.0,4758607.67182878,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,0,1,0,1,0
Compliance,Renewable Energy,Engineering Steel,Certified,Low,Qualified,Beyond 12 months,34246.0,871.0,217.0,7431382.0,11.708458457669899,0.24913892078071181,2.328510581704708,0.6937614235964942,55983.61966857389,0.0,85.0,4758607.67182878,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,0,1,1,0
Procurement,Automotive,Wire Rod,In audit,High,Qualified,Within 3 months,4122.0,869.0,80.0,329760.0,0.19962624562091716,0.09205983889528194,2.3840217436433537,0.5751363854750939,7456.225446369567,0.16666666666666666,85.0,633779.1629414132,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,0,0,0,0
Sustainability,Automotive,Wire Rod,In audit,High,Qualified,Within 3 months,4122.0,869.0,80.0,329760.0,0.19962624562091716,0.09205983889528194,2.3840217436433537,0.5751363854750939,7456.225446369567,0.16666666666666666,85.0,633779.1629414132,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,1,1
Management,Automotive,Wire Rod,In audit,High,Qualified,Within 3 months,4122.0,869.0,80.0,329760.0,0.19962624562091716,0.09205983889528194,2.3840217436433537,0.5751363854750939,7456.225446369567,0.16666666666666666,85.0,633779.1629414132,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,0,0,0
Compliance,Automotive,Wire Rod,In audit,High,Qualified,Within 3 months,4122.0,869.0,80.0,329760.0,0.19962624562091716,0.09205983889528194,2.3840217436433537,0.5751363854750939,7456.225446369567,0.16666666666666666,85.0,633779.1629414132,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,1,0,0,1
Procurement,Machinery,Wire Rod,Pending,High,In qualification,Within 6 months,23692.0,828.0,175.0,4146100.0,4.218527905611443,0.2113526570048309,2.229945777588763,0.6294866301598077,37918.07812088681,0.3333333333333333,85.0,3223036.6402753787,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,0,0,0,0,0
Sustainability,Machinery,Wire Rod,Pending,High,In qualification,Within 6 months,23692.0,828.0,175.0,4146100.0,4.218527905611443,0.2113526570048309,2.229945777588763,0.6294866301598077,37918.07812088681,0.3333333333333333,85.0,3223036.6402753787,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,1,1
Management,Machinery,Wire Rod,Pending,High,In qualification,Within 6 months,23692.0,828.0,175.0,4146100.0,4.218527905611443,0.2113526570048309,2.229945777588763,0.6294866301598077,37918.07812088681,0.3333333333333333,85.0,3223036.6402753787,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,1,1,0
Compliance,Machinery,Wire Rod,Pending,High,In qualification,Within 6 months,23692.0,828.0,175.0,4146100.0,4.218527905611443,0.2113526570048309,2.229945777588763,0.6294866301598077,37918.07812088681,0.3333333333333333,85.0,3223036.6402753787,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,0,0,1,0,1
Procurement,Infrastructure,Bar Steel,In audit,High,In qualification,Within 6 months,12782.0,869.0,191.0,2441362.0,0.8779774341830339,0.21979286536248563,2.16432509238721,0.5327050170981898,20855.367802344255,0.4,85.0,1772706.2631992616,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,1,1,0,0,0
Sustainability,Infrastructure,Bar Steel,In audit,High,In qualification,Within 6 months,12782.0,869.0,191.0,2441362.0,0.8779774341830339,0.21979286536248563,2.16432509238721,0.5327050170981898,20855.367802344255,0.4,85.0,1772706.2631992616,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,0,1,0,0,1,0
Management,Infrastructure,Bar Steel,In audit,High,In qualification,Within 6 months,12782.0,869.0,191.0,2441362.0,0.8779774341830339,0.21979286536248563,2.16432509238721,0.5327050170981898,20855.367802344255,0.4,85.0,1772706.2631992616,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,1,0,1,1
Compliance,Infrastructure,Bar Steel,In audit,High,In qualification,Within 6 months,12782.0,869.0,191.0,2441362.0,0.8779774341830339,0.21979286536248563,2.16432509238721,0.5327050170981898,20855.367802344255,0.4,85.0,1772706.2631992616,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,1,0
Procurement,Automotive,Forged Components,Pending,High,In qualification,Within 12 months,24746.0,620.0,199.0,4924454.0,4.352169786141155,0.3209677419354839,2.031621948209343,0.5030738899783956,37825.45024898303,0.8333333333333334,85.0,3215163.271163557,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,0,0,0
Sustainability,Automotive,Forged Components,Pending,High,In qualification,Within 12 months,24746.0,620.0,199.0,4924454.0,4.352169786141155,0.3209677419354839,2.031621948209343,0.5030738899783956,37825.45024898303,0.8333333333333334,85.0,3215163.271163557,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,1,1,0,0
Management,Automotive,Forged Components,Pending,High,In qualification,Within 12 months,24746.0,620.0,199.0,4924454.0,4.352169786141155,0.3209677419354839,2.031621948209343,0.5030738899783956,37825.45024898303,0.8333333333333334,85.0,3215163.271163557,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,1,1,0,0,1
Compliance,Automotive,Forged Components,Pending,High,In qualification,Within 12 months,24746.0,620.0,199.0,4924454.0,4.352169786141155,0.3209677419354839,2.031621948209343,0.5030738899783956,37825.45024898303,0.8333333333333334,85.0,3215163.271163557,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,0,0
Procurement,Construction,Spring Steel,Not started,High,In qualification,Within 3 months,38546.0,818.0,212.0,8171752.0,5.285762613414161,0.2591687041564792,2.2934411506095413,0.3684624427101823,74200.2292746887,0.8,85.0,6307019.488348539,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,1,0,0
Sustainability,Construction,Spring Steel,Not started,High,In qualification,Within 3 months,38546.0,818.0,212.0,8171752.0,5.285762613414161,0.2591687041564792,2.2934411506095413,0.3684624427101823,74200.2292746887,0.8,85.0,6307019.488348539,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,0,0
Management,Construction,Spring Steel,Not started,High,In qualification,Within 3 months,38546.0,818.0,212.0,8171752.0,5.285762613414161,0.2591687041564792,2.2934411506095413,0.3684624427101823,74200.2292746887,0.8,85.0,6307019.488348539,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,0,0,1,0,0,0
Compliance,Construction,Spring Steel,Not started,High,In qualification,Within 3 months,38546.0,818.0,212.0,8171752.0,5.285762613414161,0.2591687041564792,2.2934411506095413,0.3684624427101823,74200.2292746887,0.8,85.0,6307019.488348539,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,1,1,0,0
Procurement,Infrastructure,Engineering Steel,In audit,High,Not qualified,Within 12 months,15581.0,617.0,239.0,3723859.0,5.0195032067267125,0.3873581847649919,2.0975182187001966,0.8148751827748939,19984.861142752143,0.0,85.0,1698713.197133932,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,1,1,0,0,0,1
Sustainability,Infrastructure,Engineering Steel,In audit,High,Not qualified,Within 12 months,15581.0,617.0,239.0,3723859.0,5.0195032067267125,0.3873581847649919,2.0975182187001966,0.8148751827748939,19984.861142752143,0.0,85.0,1698713.197133932,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,0,0,1,1
Management,Infrastructure,Engineering Steel,In audit,High,Not qualified,Within 12 months,15581.0,617.0,239.0,3723859.0,5.0195032067267125,0.3873581847649919,2.0975182187001966,0.8148751827748939,19984.861142752143,0.0,85.0,1698713.197133932,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,1,0,0,0,0
Compliance,Infrastructure,Engineering Steel,In audit,High,Not qualified,Within 12 months,15581.0,617.0,239.0,3723859.0,5.0195032067267125,0.3873581847649919,2.0975182187001966,0.8148751827748939,19984.861142752143,0.0,85.0,1698713.197133932,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,0,1,0
Procurement,Automotive,Bar Steel,In audit,Medium,Qualified,Immediate,14932.0,628.0,54.0,806328.0,0.8574792071437459,0.08598726114649681,1.7615832301510252,0.3106012685999473,21666.062649880696,1.0,85.0,1841615.325239859,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,0,0,0,0,0,0
Sustainability,Automotive,Bar Steel,In audit,Medium,Qualified,Immediate,14932.0,628.0,54.0,806328.0,0.8574792071437459,0.08598726114649681,1.7615832301510252,0.3106012685999473,21666.062649880696,1.0,85.0,1841615.325239859,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,0,0,0,0,0
Management,Automotive,Bar Steel,In audit,Medium,Qualified,Immediate,14932.0,628.0,54.0,806328.0,0.8574792071437459,0.08598726114649681,1.7615832301510252,0.3106012685999473,21666.062649880696,1.0,85.0,1841615.325239859,0.6,0.5,0.5,0.95,0.6,0.5,0.6,0,1,0,1,0,0,0
Compliance,Automotive,Bar Steel,In audit,Medium,Qualified,Immediate,14932.0,628.0,54.0,806328.0,0.8574792071437459,0.08598726114649681,1.7615832301510252,0.3106012685999473,21666.062649880696,1.0,85.0,1841615.325239859,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,0,1,0,0,0,0
Procurement,Machinery,Engineering Steel,Not started,Low,In qualification,Beyond 12 months,13118.0,635.0,133.0,1744694.0,0.882888690970184,0.2094488188976378,2.364279542550249,0.6076392385800669,23043.60750748085,0.5,85.0,1958706.6381358723,0.9,0.5,0.3,0.5,0.8,0.6,0.5,1,0,1,1,1,1,1
Sustainability,Machinery,Engineering Steel,Not started,Low,In qualification,Beyond 12 months,13118.0,635.0,133.0,1744694.0,0.882888690970184,0.2094488188976378,2.364279542550249,0.6076392385800669,23043.60750748085,0.5,85.0,1958706.6381358723,0.3,0.9,0.85,0.7,0.3,0.4,0.7,0,1,1,1,0,1,0
Management,Machinery,Engineering Steel,Not started,Low,In qualification,Beyond 12 months,13118.0,635.0,133.0,1744694.0,0.882888690970184,0.2094488188976378,2.364279542550249,0.6076392385800669,23043.60750748085,0.5,85.0,1958706.6381358723,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,1,1,1,1,1,0
Compliance,Machinery,Engineering Steel,Not started,Low,In qualification,Beyond 12 months,13118.0,635.0,133.0,1744694.0,0.882888690970184,0.2094488188976378,2.364279542550249,0.6076392385800669,23043.60750748085,0.5,85.0,1958706.6381358723,0.2,0.95,0.95,0.4,0.3,0.7,0.9,1,1,1,1,0,0,0
Procurement,Infrastructure,Bar Steel,Pending,Low,In qualification,Beyond 12 months,27488.0,716.0,90.0,2473920.0,1.6786473762992296,0.12569832402234637,1.8645885936438933,0.8582307705534904,27662.763841108994,0.3333333333333333,85.0,2351334.9264942645,0.9,0.5,0.3,0.5,0.8,0.6,0.5,0,1,1,1,0,1,1
Sustainability,Infrastructure,Bar Steel,Pending,Low,In qualification,Beyond 12 months,27488.0,716.0,90.0,2473920.0,1.6786473762992296,0.12569832402234637,1.8645885936438933,0.8582307705534904,27662.763841108994,0.3333333333333333,85.0,2351334.9264942645,0.3,0.9,0.85,0.7,0.3,0.4,0.7,1,1,1,1,0,0,0
Management,Infrastructure,Bar Steel,Pending,Low,In qualification,Beyond 12 months,27488.0,716.0,90.0,2473920.0,1.6786473762992296,0.12569832402234637,1.8645885936438933,0.8582307705534904,27662.763841108994,0.3333333333333333,85.0,2351334.9264942645,0.6,0.5,0.5,0.95,0.6,0.5,0.6,1,0,0,1,0,0,1
Compliance,Infrastructure,Bar Steel,Pending,Low,In qualification,Beyond 12 months,27488.0,716.0,90.0,2473920.0,1.6786473762992296,0.12569832402234637,1.8645885936438933,0.8582307705534904,27662.763841108994,0.3333333333333333,85.0,2351334.9264942645,0.2,0.95,0.95,0.4,0.3,0.7,0.9,0,1,1,0,1,0,1
